date,open,high,low,close,volume,adjusted
2000-01-04,5533.98,5533.98,5376.43,5491.01,112707829.067442,5491.01
2000-01-05,5265.09,5464.35,5184.48,5357.0,134874951.72385,5357.0
2000-01-06,5424.21,5489.86,5391.33,5421.53,110145955.3767936,5421.53
2000-01-07,5358.28,5463.25,5330.58,5414.48,125689387.288189,5414.48
2000-01-10,5617.59,5668.28,5459.97,5518.39,94567410.9022334,5518.39
2000-01-11,5513.04,5537.69,5221.28,5296.3,111065009.562447,5296.3
2000-01-12,5267.85,5494.3,5267.85,5491.2,69210099.7378494,5491.2
2000-01-13,5568.64,5652.22,5430.81,5444.82,81792739.4216759,5444.82
2000-01-14,5460.31,5476.38,5344.59,5471.27,99513623.8291463,5471.27
2000-01-18,5414.26,5465.54,5347.92,5464.51,73803428.0222416,5464.51
2000-01-19,5496.68,5528.12,5460.68,5478.24,82421373.1805352,5478.24
2000-01-20,5508.04,5516.16,5348.56,5355.8,78606813.1323499,5355.8
2000-01-21,5352.63,5441.83,5330.08,5423.05,84250280.5718989,5423.05
2000-01-24,5529.38,5583.22,5439.48,5458.06,75340397.5983123,5458.06
2000-01-25,5412.49,5430.29,5351.22,5367.79,73547279.3127564,5367.79
2000-01-26,5412.49,5430.29,5351.22,5367.79,73547279.3127564,5367.79
2000-01-27,5424.14,5457.3,5362.25,5369.1,75270742.7007814,5369.1
2000-01-28,5417.53,5417.53,5331.54,5335.8,91347067.9221752,5335.8
2000-01-31,5417.53,5417.53,5331.54,5335.8,91347067.9221752,5335.8
2000-02-01,5417.53,5417.53,5331.54,5335.8,91347067.9221752,5335.8
2000-02-02,5417.53,5417.53,5331.54,5335.8,91347067.9221752,5335.8
2000-02-03,5417.53,5417.53,5331.54,5335.8,91347067.9221752,5335.8
2000-02-04,5417.53,5417.53,5331.54,5335.8,91347067.9221752,5335.8
2000-02-07,5417.53,5417.53,5331.54,5335.8,91347067.9221752,5335.8
2000-02-08,5417.53,5417.53,5331.54,5335.8,91347067.9221752,5335.8
2000-02-09,5417.53,5417.53,5331.54,5335.8,91347067.9221752,5335.8
2000-02-10,5417.53,5417.53,5331.54,5335.8,91347067.9221752,5335.8
2000-02-11,5417.53,5417.53,5331.54,5335.8,91347067.9221752,5335.8
2000-02-14,6130.23,6150.69,5923.17,5924.31,81000957.4044886,5924.31
2000-02-15,5797.31,5941.88,5774.32,5803.19,89483966.1326619,5803.19
2000-02-16,5782.2,5864.97,5711.75,5725.5,57040460.34281,5725.5
2000-02-17,5810.24,5877.04,5799.79,5835.15,62457624.2683191,5835.15
2000-02-18,5894.19,5894.19,5681.98,5721.65,68147120.7698205,5721.65
2000-02-22,6000.3,6009.02,5864.79,5883.33,61055363.9973387,5883.33
2000-02-23,6002.49,6033.98,5612.55,5642.46,61351481.8796752,5642.46
2000-02-24,5764.16,5816.16,5620.83,5810.17,52228570.1251913,5810.17
