date,open,high,low,close,volume,adjusted
1993-02-26,351.66,353.16,349.24,351.14,25097165.6581574,351.14
1993-03-01,351.14,352.97,348.28,349.09,20107825.7303076,349.09
1993-03-02,349.09,356.79,348.08,356.21,21520329.1678463,356.21
1993-03-03,356.21,360.42,355.79,359.96,26735974.8695216,359.96
1993-03-04,359.96,359.96,352.84,355.53,28650609.882714,355.53
1993-03-05,355.53,358.09,352.7,355.56,24528717.1462072,355.56
1993-03-08,355.56,360.33,355.11,359.44,26704143.0143345,359.44
1993-03-09,359.44,361.41,358.58,359.4,26297877.2218128,359.4
1993-03-10,359.44,361.41,358.58,359.4,26297877.2218128,359.4
1993-03-11,359.44,361.41,358.58,359.4,26297877.2218128,359.4
1993-03-12,361.73,363.09,356.44,362.65,25662912.9530188,362.65
1993-03-15,362.65,365.05,362.25,364.31,19525295.2389143,364.31
1993-03-16,364.31,366.53,363.1,363.61,21558879.786351,363.61
1993-03-17,363.61,363.61,354.87,355.65,26495669.3868243,355.65
1993-03-18,355.65,358.63,355.32,355.5,24086739.0698884,355.5
1993-03-19,355.5,357.91,351.46,351.55,23829081.3525414,351.55
1993-03-22,351.55,351.55,346.2,349.41,25643853.6040159,349.41
1993-03-23,349.41,353.0,347.8,348.13,25066999.7820378,348.13
1993-03-24,348.13,350.03,345.43,348.5,27959372.5431951,348.5
1993-03-25,348.5,355.02,348.5,354.38,24459719.5604645,354.38
1993-03-26,354.38,356.4,351.38,352.64,19300724.0029657,352.64
1993-03-29,352.64,355.08,351.01,351.4,18672958.4091548,351.4
1993-03-30,351.4,357.72,351.4,357.72,23421602.0690939,357.72
1993-03-31,357.72,363.18,357.72,359.42,30946095.9377973,359.42
1993-04-01,359.42,360.74,353.47,354.33,27875840.4898675,354.33
1993-04-02,354.33,354.33,341.14,341.18,37997849.3924209,341.18
1993-04-05,341.17,345.18,339.17,344.7,21936069.787822,344.7
1993-04-06,344.7,347.73,340.06,340.55,24784119.2787262,340.55
1993-04-07,340.55,345.43,339.52,345.18,23587192.1613477,345.18
1993-04-08,345.18,345.24,340.44,341.56,25785057.3277794,341.56
1993-04-12,341.56,349.72,341.56,349.0,23982557.1031808,349.0
1993-04-13,349.0,351.82,345.71,345.87,32393372.4034448,345.87
1993-04-14,345.87,347.07,343.78,346.49,24813524.1520619,346.49
1993-04-15,346.49,346.49,343.07,343.89,26098446.5012575,343.89
1993-04-16,343.89,345.23,340.38,340.65,26378996.0050508,340.65
1993-04-19,334.87,341.4,332.92,337.45,29536732.4937274,337.45
1993-04-20,337.45,339.57,334.61,339.06,29603412.7917136,339.06
1993-04-21,339.06,341.41,336.85,340.19,31657407.2966976,340.19
1993-04-22,340.19,343.77,337.84,338.48,31118301.9551546,338.48
1993-04-23,338.48,338.93,332.81,333.66,25143634.8191435,333.66
1993-04-26,333.66,334.45,326.56,327.28,23194857.5188885,327.28
1993-04-27,327.28,334.82,327.28,334.6,25907085.1525642,334.6
1993-04-28,334.6,339.93,334.6,339.66,23510749.0889083,339.66
1993-04-29,339.66,339.66,334.94,338.98,19209458.515942,338.98
1993-04-30,338.98,344.38,338.98,339.94,24429971.893082,339.94
1993-05-03,339.94,345.27,339.94,344.97,10125621.9518068,344.97
1993-05-04,344.97,353.72,344.97,353.28,15812232.3943994,353.28
1993-05-05,353.28,357.13,350.86,355.34,18703657.3300172,355.34
1993-05-06,355.34,356.76,351.01,351.71,12611392.9822764,351.71
1993-05-07,351.71,354.25,350.94,353.23,11734354.4135035,353.23
1993-05-10,353.23,356.52,353.23,354.84,11806384.0125902,354.84
1993-05-11,354.84,354.84,351.52,353.0,11961155.5247266,353.0
1993-05-12,353.0,353.11,350.34,350.96,10783400.8783864,350.96
1993-05-13,350.96,350.96,345.69,347.71,11748451.8186787,347.71
1993-05-14,347.73,350.04,346.82,349.8,10721997.8947509,349.8
1993-05-17,349.8,353.1,349.52,352.67,11576112.1116431,352.67
1993-05-18,352.67,356.12,352.67,356.0,15202744.5791646,356.0
1993-05-19,356.0,365.21,354.84,364.67,18204934.8411591,364.67
1993-05-20,364.67,370.89,364.67,370.45,18822906.8090525,370.45
1993-05-21,370.46,370.46,364.51,366.67,13072793.7692876,366.67
1993-05-24,366.67,369.61,363.31,367.09,11056693.4322087,367.09
1993-05-25,367.09,367.09,363.88,366.22,16267505.7378239,366.22
1993-05-26,366.22,374.4,365.3,374.34,20141421.2608656,374.34
1993-05-27,374.34,376.53,371.85,372.73,15600085.7286776,372.73
1993-05-28,372.73,372.73,364.26,368.11,17657621.2961652,368.11
1993-06-01,368.11,374.68,368.11,372.53,14049971.048986,372.53
1993-06-02,372.53,374.91,370.38,372.68,13667327.1942302,372.68
